국가,유적,공부말단,전체길이,모신부길이,모신부 최대폭,공부길이,공부직경
백제,완주 상운리유적,연미형,28,13,2.6,15,3.3
백제,완주 상운리유적,직기형,21,10,2,11,2.5
백제,완주 상운리유적,연미형,26,14,2,12,3
백제,완주 상운리유적,연미형,26,14,2.4,12,3.1
백제,완주 상운리유적,연미형,23,10,2.6,12,4.3
백제,완주 상운리유적,연미형,24,11,1.8,13,3.2
백제,완주 상운리유적,연미형,21,10,1.6,11,3.1
백제,완주수계리 유적Ⅰ,연미형,25,13,1.5,12,2.9
백제,완주수계리 유적Ⅰ,연미형,26,14,2.1,12,3.6
백제,완주수계리 유적Ⅰ,연미형,22,8,2.1,12,3.6
백제,완주수계리 유적Ⅰ,직기형,21,10,2.1,11,2.9
백제,완주수계리 유적Ⅰ,직기형,27,14,1.6,13,2.7
백제,완주수계리 유적Ⅰ,연미형,28,13,2.3,14,2.7
백제,완주 수계리유적Ⅱ(완주 신기B 1구역),직기형,24,12,2.3,12,2.7
백제,전주마전 유적(Ⅳ),연미형,24,13,1.8,11,3.5
백제,군산 산월리유적,연미형,30,16,1.8,14,3
백제,전주장동유적 Ⅱ,연미형,35,21,2.4,15,4.2
백제,고흥야막고분,연미형,22,10,1.9,12,2.3
백제,고흥야막고분,연미형,21,8,1.6,13,2.8
백제,나주 구기촌유적,직기형,28,14,3,14,3.6
백제,나주정촌 고분,직기형,26,13,2,12,2.8
백제,나주화정리 마산고분군,연미형,27,13,1.8,14,2.7
백제,순천 검단산성,직기형,25,15,1.9,10,2.5
백제,순천 검단산성,직기형,21,10,1.6,11,3
백제,신안대리 배널리고분군,연미형,31,15,2.8,17,3.3
백제,영암신연리고분군,연미형,24,10,1.8,14,2.9
백제,함평 마산리표산 유적(Ⅲ지구),연미형,24,12,1.9,13,3
백제,함평 마산리표산 유적(Ⅳ지구),연미형,27,16,2.6,11,3
백제,함평 마산리표산 유적(Ⅳ지구),연미형,29,15,2.2,13,2.9
백제,함평예덕리신덕 고분,직기형,31,15,1.5,16,3
백제,함평예덕리신덕 고분,직기형,30,15,1.9,15,3.3
백제,함평예덕리신덕 고분,직기형,31,14,2,17,3
백제,해남월송리조산 고분,직기형,32,17,1.6,16,2.4
백제,해남월송리조산 고분,직기형,25,7,1.6,18,2.3
신라,경산 임당동 G-126호묘,연미형,34,12,2.4,15,2.9
신라,경산 임당동 G-126호묘,연미형,29,13,2,12,2.5
신라,경산 임당동 G-126호묘,연미형,28,11,1.9,14,3.2
신라,경산 임당동 G-126호묘,직기형,31,14,2.7,15,3.1
신라,경산 임당동 G-126호묘,직기형,27,10,1.9,10,2.7
신라,경산 임당동 G-126호묘,직기형,26,12,2.4,9,2.9
신라,경산 임당동 G-126호묘,직기형,27,10,2.4,8,3
신라,경산 임당동 G-126호묘,직기형,25,10,2.5,10,2.4
신라,경산 임당동 G-126호묘,직기형,25,11,2.1,11,1.8
신라,경산 임당동 G-126호묘,직기형,31,24,3.3,5,2
신라,경산 임당동 G-126호묘,직기형,29,21,2.5,6,2.3
신라,경산 임당동 G-126호묘,직기형,30,24,2.7,5,2.7
신라,경산 임당동 G-126호묘,직기형,29,24,3.6,4,2.1
신라,경산 임당동 G-126호묘,직기형,30,23,3.3,6,2.7
신라,경산 임당동 G-126호묘,직기형,28,23,4.2,4,2.8
신라,경산 임당동 G-126호묘,직기형,27,21,3.6,4,3.8
신라,경산 임당동 G-129호묘,연미형,24,9,2.2,9,3.2
신라,경산 임당동 G-129호묘,연미형,23,8,2.2,11,3.2
신라,경산 임당동 G지구 지표수습,연미형,19,8,2.1,8,2.9
신라,경주 월성로,연미형,25,12,2.1,9,3
신라,경주 월성로,연미형,25,13,2.4,9,3.6
신라,경주 월성로,연미형,22,9,2.1,10,2.5
신라,경주 월성로,직기형,26,10,1.5,13,3.1
신라,경주 월성로,연미형,26,13,1.5,8,3
신라,경주 월성로,연미형,23,10,1.5,12,2.8
신라,경주 월성로,연미형,26,10,1.5,10,3
신라,경주 월성로,연미형,23,11,2.1,11,2.5
신라,경주 월성로,연미형,28,11,3,11,2.9
신라,경주 월성로,연미형,24,9,2.4,8,3
신라,경주 월성로,연미형,24,10,2.7,11,2.9
신라,경주 월성로,연미형,25,11,3.3,9,3
신라,경주 월성로,직기형,26,11,2.7,11,2.6
신라,경주 월성로,연미형,26,11,3,11,2.7
신라,경주 월성로,연미형,22,9,2.4,13,3
신라,경주 월성로,연미형,27,11,3.3,13,3.2
신라,경주 월성로,직기형,25,15,3,8,3
